ITEM©ö©ªE¡Ì	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	¡íoA¢® ¨¡C¢¬A¡Æ¢®	¡íoA¢®¢¯¢®¨ù¡© ¡íi ¢Ò¡×	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
18	¥ì¥ì+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	400000	400000	19	1227	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	9	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
19	¥ì¥ì+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	450000	450000	20	1228	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	10	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
20	Aa¡ÆE+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	500000	500000	21	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	11	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
21	Aa¡ÆE+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	550000	550000	22	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	12	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
22	Aa¡ÆE+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	600000	600000	23	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	13	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
23	Aa¡ÆE+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	750000	750000	24	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	14	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
24	Aa¡ÆE+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	800000	800000	25	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	15	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
25	Aa¡ÆE+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	850000	850000	26	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	16	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
26	Aa¡ÆE+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	900000	900000	27	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	17	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
27	Aa¡ÆE+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	950000	950000	28	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	18	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
28	Aa¡ÆE+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1000000	1000000	29	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	19	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
29	Aa¡ÆE+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1100000	1100000	30	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	20	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
30	¢¯u¥ì¥ì+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1200000	1200000	31	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	21	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
31	¢¯u¥ì¥ì+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1300000	1300000	32	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	22	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
32	¢¯u¥ì¥ì+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1400000	1400000	33	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	23	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
33	¢¯u¥ì¥ì+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1500000	1500000	34	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	24	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
34	¢¯u¥ì¥ì+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1600000	1600000	35	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	25	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
35	¢¯u¥ì¥ì+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1700000	1700000	36	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	26	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
36	¢¯u¥ì¥ì+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1800000	1800000	37	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	27	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
37	¢¯u¥ì¥ì+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	1900000	1900000	38	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	28	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
38	¢¯u¥ì¥ì+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2000000	2000000	39	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	29	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
39	¢¯u¥ì¥ì+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2100000	2100000	40	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	30	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
40	¨ù¨ù¡ÆE+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2200000	2200000	41	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	31	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
41	¨ù¨ù¡ÆE+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2300000	2300000	42	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	32	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
42	¨ù¨ù¡ÆE+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2400000	2400000	43	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	33	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
43	¨ù¨ù¡ÆE+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2500000	2500000	44	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	34	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
44	¨ù¨ù¡ÆE+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2600000	2600000	45	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	35	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
45	¨ù¨ù¡ÆE+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2700000	2700000	46	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	36	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
46	¨ù¨ù¡ÆE+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2800000	2800000	47	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	37	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
47	¨ù¨ù¡ÆE+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	2900000	2900000	48	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	38	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
48	¨ù¨ù¡ÆE+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5000000	5000000	49	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	39	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
49	¨ù¨ù¡ÆE+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5100000	5100000	50	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	40	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
50	©ø¢Ò¨ú¨¡¥ì¥ì+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5200000	5200000	51	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	41	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
51	©ø¢Ò¨ú¨¡¥ì¥ì+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5300000	5300000	52	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	42	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
52	©ø¢Ò¨ú¨¡¥ì¥ì+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5400000	5400000	53	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	43	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
53	©ø¢Ò¨ú¨¡¥ì¥ì+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5500000	5500000	54	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	44	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
54	©ø¢Ò¨ú¨¡¥ì¥ì+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5600000	5600000	55	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	45	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
55	©ø¢Ò¨ú¨¡¥ì¥ì+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5700000	5700000	56	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	46	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
56	©ø¢Ò¨ú¨¡¥ì¥ì+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5800000	5800000	57	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	47	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
57	©ø¢Ò¨ú¨¡¥ì¥ì+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	5900000	5900000	58	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	48	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
58	©ø¢Ò¨ú¨¡¥ì¥ì+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	10000000	10000000	59	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	49	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
59	©ø¢Ò¨ú¨¡¥ì¥ì+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	11000000	11000000	60	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	50	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
60	A¨¬¡ÆE+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	12000000	12000000	61	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	51	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
61	A¨¬¡ÆE+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	13000000	13000000	62	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	52	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
62	A¨¬¡ÆE+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	14000000	14000000	63	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	53	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
63	A¨¬¡ÆE+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	15000000	15000000	64	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	54	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
64	A¨¬¡ÆE+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	16000000	16000000	65	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	55	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
65	A¨¬¡ÆE+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	17000000	17000000	66	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	56	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
66	A¨¬¡ÆE+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	18000000	18000000	67	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	57	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
67	A¨¬¡ÆE+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	19000000	19000000	68	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	58	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
68	A¨¬¡ÆE+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	50000000	50000000	69	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	59	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
69	A¨¬¡ÆE+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	51000000	51000000	70	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	60	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
70	¢¯¡þ¡ÆE+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	52000000	52000000	71	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	61	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
71	¢¯¡þ¡ÆE+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	53000000	53000000	72	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	62	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
72	¢¯¡þ¡ÆE+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	54000000	54000000	73	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	63	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
73	¢¯¡þ¡ÆE+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	55000000	55000000	74	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	64	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
74	¢¯¡þ¡ÆE+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	56000000	56000000	75	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	65	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
75	¢¯¡þ¡ÆE+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	57000000	57000000	76	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	67	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
76	¢¯¡þ¡ÆE+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	58000000	58000000	77	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	68	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
77	¢¯¡þ¡ÆE+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	59000000	59000000	78	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	69	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
78	¢¯¡þ¡ÆE+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	100000000	100000000	79	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	70	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
79	¢¯¡þ¡ÆE+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	110000000	110000000	80	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	71	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
80	¡ícAI¡ÆE+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	120000000	120000000	81	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	72	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
81	¡ícAI¡ÆE+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON	NONE	130000000	130000000	82	1229	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	30	APPLY_ATTBONUS_MONSTER	73	APPLY_NONE	0	0	60	50	700	700	0	0	3	0
