VNUM	LOCALE_NAME	
1	Yang	
2156	Arc corn+6
2157	Arc corn+7
2158	Arc corn+8
2159	Arc corn+9
2160	Arcul marelui diavol+0
2161	Arcul marelui diavol+1
2162	Arcul marelui diavol+2
2163	Arcul marelui diavol+3
2164	Arcul marelui diavol+4
2165	Arcul marelui diavol+5
2166	Arcul marelui diavol+6
2167	Arcul marelui diavol+7
2168	Arcul marelui diavol+8
2169	Arcul marelui diavol+9
2170	Skin Otelit Al Ciorii
2171	Arcul otelit al ciorii+1
2172	Arcul otelit al ciorii+2
2173	Arcul otelit al ciorii+3
2174	Arcul otelit al ciorii+4
2175	Arcul otelit al ciorii+5
2176	Arcul otelit al ciorii+6
2177	Arcul otelit al ciorii+7
2178	Arcul otelit al ciorii+8
2179	Arcul otelit al ciorii+9
2180	Skin Dragon-Albastru
2181	Arc Dragon-albastru+1
2182	Arc Dragon-albastru+2
2183	Arc Dragon-albastru+3
2184	Arc Dragon-albastru+4
2185	Arc Dragon-albastru+5
2186	Arc Dragon-albastru+6
2187	Arc Dragon-albastru+7
2188	Arc Dragon-albastru+8
2189	Arc Dragon-albastru+9
2190	Skin Arc Stafie
2191	Arc stafie+1
2192	Arc stafie+2
2193	Arc stafie+3
2194	Arc stafie+4
2195	Arc stafie+5
2196	Arc stafie+6
2197	Arc stafie+7
2198	Arc stafie+8
2199	Arc stafie+9
2370	Arc Phoenix +0
2371	Arc Phoenix +1
2372	Arc Phoenix +2
2373	Arc Phoenix +3
2374	Arc Phoenix +4
2375	Arc Phoenix +5
2376	Arc Phoenix +6
2377	Arc Phoenix +7
2378	Arc Phoenix +8
2379	Arc Phoenix +9
3000	Glefe+0
3001	Glefe+1
3002	Glefe+2
3003	Glefe+3
3004	Glefe+4
3005	Glefe+5
3006	Glefe+6
3007	Glefe+7
3008	Glefe+8
3009	Glefe+9
3010	Sulita+0
3011	Sulita+1
3012	Sulita+2
3013	Sulita+3
3014	Sulita+4
3015	Sulita+5
3016	Sulita+6
3017	Sulita+7
3018	Sulita+8
3019	Sulita+9
3020	Lama Ghilotina+0
3021	Lama Ghilotina+1
3022	Lama Ghilotina+2
3023	Lama Ghilotina+3
3024	Lama Ghilotina+4
3025	Lama Ghilotina+5
3026	Lama Ghilotina+6
3027	Lama Ghilotina+7
3028	Lama Ghilotina+8
3029	Lama Ghilotina+9
3030	Sulita paianjen+0
3031	Sulita paianjen+1
3032	Sulita paianjen+2
3033	Sulita paianjen+3
3034	Sulita paianjen+4
3035	Sulita paianjen+5
3036	Sulita paianjen+6
3037	Sulita paianjen+7
3038	Sulita paianjen+8
3039	Sulita paianjen+9
3040	Guisarme+0
3041	Guisarme+1
3042	Guisarme+2
3043	Guisarme+3
3044	Guisarme+4
3045	Guisarme+5
3046	Guisarme+6
3047	Guisarme+7
3048	Guisarme+8
3049	Guisarme+9
3050	Coasa de razboi+0
3051	Coasa de razboi+1
3052	Coasa de razboi+2
3053	Coasa de razboi+3
3054	Coasa de razboi+4
3055	Coasa de razboi+5
3056	Coasa de razboi+6
3057	Coasa de razboi+7
3058	Coasa de razboi+8
3059	Coasa de razboi+9
3060	Furca de lupta+0
3061	Furca de lupta+1
3062	Furca de lupta+2
3063	Furca de lupta+3
3064	Furca de lupta+4
3065	Furca de lupta+5
3066	Furca de lupta+6
3067	Furca de lupta+7
3068	Furca de lupta+8
3069	Furca de lupta+9
3070	Halebarda+0
3071	Halebarda+1
3072	Halebarda+2
3073	Halebarda+3
3074	Halebarda+4
3075	Halebarda+5
3076	Halebarda+6
3077	Halebarda+7
3078	Halebarda+8
3079	Halebarda+9
3080	Secure uriasa+0
3081	Secure uriasa+1
3082	Secure uriasa+2
3083	Secure uriasa+3
3084	Secure uriasa+4
3085	Secure uriasa+5
3086	Secure uriasa+6
3087	Secure uriasa+7
3088	Secure uriasa+8
3089	Secure uriasa+9
3090	Sulita ghetar+0
3091	Sulita ghetar+1
3092	Sulita ghetar+2
3093	Sulita ghetar+3
3094	Sulita ghetar+4
3095	Sulita ghetar+5
3096	Sulita ghetar+6
3097	Sulita ghetar+7
3098	Sulita ghetar+8
3099	Sulita ghetar+9
3100	Sabie 12 stafii+0
3101	Sabie 12 stafii+1
3102	Sabie 12 stafii+2
3103	Sabie 12 stafii+3
3104	Sabie 12 stafii+4
3105	Sabie 12 stafii+5
3106	Sabie 12 stafii+6
3107	Sabie 12 stafii+7
3108	Sabie 12 stafii+8
3109	Sabie 12 stafii+9
3110	Lama Eliberare+0
3111	Lama Eliberare+1
3112	Lama Eliberare+2
3113	Lama Eliberare+3
3114	Lama Eliberare+4
3115	Lama Eliberare+5
3116	Lama Eliberare+6
3117	Lama Eliberare+7
3118	Lama Eliberare+8
3119	Lama Eliberare+9
3120	Ucigator de lei+0
3121	Ucigator de lei+1
3122	Ucigator de lei+2
3123	Ucigator de lei+3
3124	Ucigator de lei+4
3125	Ucigator de lei+5
3126	Ucigator de lei+6
3127	Ucigator de lei+7
3128	Ucigator de lei+8
3129	Ucigator de lei+9
3130	Lance partizan+0
3131	Lance partizan+1
3132	Lance partizan+2
3133	Lance partizan+3
3134	Lance partizan+4
3135	Lance partizan+5
3136	Lance partizan+6
3137	Lance partizan+7
3138	Lance partizan+8
3139	Lance partizan+9
3140	Lama Magnetica+0
3141	Lama Magnetica+1
3142	Lama Magnetica+2
3143	Lama Magnetica+3
3144	Lama Magnetica+4
3145	Lama Magnetica+5
3146	Lama Magnetica+6
3147	Lama Magnetica+7
3148	Lama Magnetica+8
3149	Lama Magnetica+9
3150	Skin Semi-Om
3151	Skin Semi-Om+1
3152	Skin Semi-Om+2
3153	Skin Semi-Om+3
3154	Skin Semi-Om+4
3155	Skin Semi-Om+5
3156	Skin Semi-Om+6
3157	Skin Semi-Om+7
3158	Skin Semi-Om+8
3159	Skin Semi-Om+9
3160	Skin Maniei
3161	Skin Maniei+1
3162	Skin Maniei+2
3163	Skin Maniei+3
3164	Skin Maniei+4
3165	Skin Maniei+5
3166	Skin Maniei+6
3167	Skin Maniei+7
3168	Skin Maniei+8
3169	Skin Maniei+9
3170	Skin Asasin-Galben
3171	Skin Asasin-Galben+1
3172	Skin Asasin-Galben+2
3173	Skin Asasin-Galben+3
3174	Skin Asasin-Galben+4
3175	Skin Asasin-Galben+5
3176	Skin Asasin-Galben+6
3177	Skin Asasin-Galben+7
3178	Skin Asasin-Galben+8
3179	Skin Asasin-Galben+9
3180	Skin Asasin-Albastru
3181	Skin Asasin-Albastru+1
3182	Skin Asasin-Albastru+2
3183	Skin Asasin-Albastru+3
3184	Skin Asasin-Albastru+4
3185	Skin Asasin-Albastru+5
3186	Skin Asasin-Albastru+6
3187	Skin Asasin-Albastru+7
3188	Skin Asasin-Albastru+8
3189	Skin Asasin-Albastru+9
3190	Lama Solara +0
3191	Lama Solara +1
3192	Lama Solara +2
3193	Lama Solara +3
3194	Lama Solara +4
3195	Lama Solara +5
3196	Lama Solara +6
3197	Lama Solara +7
3198	Lama Solara +8
3199	Lama Solara +9
3200	Skinul Zeului Dragon
3201	Skinul Zeului Dragon+1
3202	Skinul Zeului Dragon+2
3203	Skinul Zeului Dragon+3
3204	Skinul Zeului Dragon+4
3205	Skinul Zeului Dragon+5
3206	Skinul Zeului Dragon+6
3207	Skinul Zeului Dragon+7
3208	Skinul Zeului Dragon+8
3209	Skinul Zeului Dragon+9
3210	Skin Lama Fier Rosu
3211	Skin Lama Fier Rosu+1
3212	Skin Lama Fier Rosu+2
3213	Skin Lama Fier Rosu+3
3214	Skin Lama Fier Rosu+4
3215	Skin Lama Fier Rosu+5
3216	Skin Lama Fier Rosu+6
3217	Skin Lama Fier Rosu+7
3218	Skin Lama Fier Rosu+8
3219	Skin Lama Fier Rosu+9
4000	Amija+0
4001	Amija+1
4002	Amija+2
4003	Amija+3
4004	Amija+4
4005	Amija+5
4006	Amija+6
4007	Amija+7
4008	Amija+8
4009	Amija+9
4010	Noua Lame+0
4011	Noua Lame+1
4012	Noua Lame+2
4013	Noua Lame+3
4014	Noua Lame+4
4015	Noua Lame+5
4016	Noua Lame+6
4017	Noua Lame+7
4018	Noua Lame+8
4019	Noua Lame+9
4020	Cutit scurt+0
4021	Cutit scurt+1
4022	Cutit scurt+2
4023	Cutit scurt+3
4024	Cutit scurt+4
4025	Cutit scurt+5
4026	Cutit scurt+6
4027	Cutit scurt+7
4028	Cutit scurt+8
4029	Cutit scurt+9
4030	Skin Geamanul Lunii+0
4031	Skin Geamanul Lunii+1
4032	Skin Geamanul Lunii+2
4033	Skin Geamanul Lunii+3
4034	Skin Geamanul Lunii+4
4035	Skin Geamanul Lunii+5
4036	Skin Geamanul Lunii+6
4037	Skin Geamanul Lunii+7
4038	Skin Geamanul Lunii+8
4039	Skin Geamanul Lunii+9
4040	Cutit neInsufletit+0
4041	Cutit neInsufletit+1
4042	Cutit neInsufletit+2
4043	Cutit neInsufletit+3
4044	Cutit neInsufletit+4
4045	Cutit neInsufletit+5
4046	Cutit neInsufletit+6
4047	Cutit neInsufletit+7
4048	Cutit neInsufletit+8
4049	Cutit neInsufletit+9
5000	Clopot de Cupru+0
5001	Clopot de Cupru+1
5002	Clopot de Cupru+2
5003	Clopot de Cupru+3
5004	Clopot de Cupru+4
5005	Clopot de Cupru+5
5006	Clopot de Cupru+6
5007	Clopot de Cupru+7
5008	Clopot de Cupru+8
5009	Clopot de Cupru+9
5010	Clopot Argintiu+0
5011	Clopot Argintiu+1
5012	Clopot Argintiu+2
5013	Clopot Argintiu+3
5014	Clopot Argintiu+4
5015	Clopot Argintiu+5
5016	Clopot Argintiu+6
5017	Clopot Argintiu+7
5018	Clopot Argintiu+8
5019	Clopot Argintiu+9
5020	Clopot Auriu+0
5021	Clopot Auriu+1
5022	Clopot Auriu+2
5023	Clopot Auriu+3
5024	Clopot Auriu+4
5025	Clopot Auriu+5
5026	Clopot Auriu+6
5027	Clopot Auriu+7
5028	Clopot Auriu+8
5029	Clopot Auriu+9
5030	Clopot de Jad+0
5031	Clopot de Jad+1
5032	Clopot de Jad+2
5033	Clopot de Jad+3
5034	Clopot de Jad+4
5035	Clopot de Jad+5
