AFF_LOVE_POINT	Punct de dragoste: %d%%
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nu ai suficient material pentru rafinare.
DRAGON_SOUL_NOT_MATCHED_SLOT	Piatra Dragon nu se potriveste in acest slot.
DRAGON_SOUL_STEP_LEVEL1	Claritate: opaca,
DRAGON_SOUL_STEP_LEVEL2	Claritate: clara,
DRAGON_SOUL_STEP_LEVEL3	Claritate: perfecta,
DRAGON_SOUL_STEP_LEVEL4	Claritate: stralucitoare,
DRAGON_SOUL_STEP_LEVEL5	Claritate: excelenta,
DRAGON_SOUL_STRENGTH	Nivel: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Piatra Dragon poate fi distrusa in acest proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_UNMATCHED_SLOT	Acest slot este gresit.
DRAGON_SOUL_UNQUALIFIED	Inca nu poti folosi alchimia Pietrei Dragon.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poþi arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi renunþa la un obiect atribuit caracterului dacã magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poþi renunþa la maxim 999 Yang.
EMOTION_ANGRY	Neplãcut
EMOTION_ATTRACTIVE	Tentaþie
EMOTION_BANTER	Rãutãcios
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o þintã.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sãrut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_JOY	Bucurie
EMOTION_SAD	Trist
EMOTION_SHY	Refuz
EMOTION_SLAP	Loviturã
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EXCHANGE_CANNOT_GIVE	Nu poþi vinde acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba Iteme atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Negociazã cu %s
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca %s a muºcat.
FISHING_NOTIFY2	Se pare cã s-a prins %s.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu ºtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sã pescuiesc aici.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bãrbaþi
GAME_CANNOT_MINING	Nu poþi sã sapi dupã minereu în timp ce cãlãreºti.
GAME_CANNOT_PICK_ITEM	Nu poþi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazã DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficã pentru rularea jocului.\nVerificã daca placa VGA e instalatã corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficã nu a putut fi iniþializatã.nVerificã dacã deþii o placã VGA.\nAlternativ poþi sã activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficã nu suportã 32bit.\nSchimbã pe 16bit sau foloseºte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalã nu a putut fi realizatã.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reþea nu s-a realizat.\nVerificã legãtura la internet.
GAME_PICK_MONEY	Ai primit %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înãlþimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înãlþimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înãlþimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înãlþimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportã aceastã imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazã fiºierele în directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatã.
GUILDWAR_CTF_TITLE	Cucereºte steagul
GUILDWAR_NORMAL_TITLE	Bãtãlie pe câmp
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale rãzboi,
GUILDWAR_QUESTION_LINE_2	Accepþi? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptã în Arenã
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_NAME	Numele clãdirii
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_COMMENT	Scrie
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	ªterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DO_YOU_HEAL_GSP	Vrei sã refaci %d unitãþi din Spiritul Dragonului pentru %d Yang?
GUILD_DO_YOU_JOIN	  te-a invitat. Vrei sã te alãturi alianþei?
GUILD_EMPTY_AREA	Þarã goalã
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clãdire secundarã
GUILD_GEM	Piatrã preþioasã
GUILD_HEADQUARTER	Clãdire principalã
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 4
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deþii destul material pentru aceastã clãdire.
GUILD_NOT_ENOUGH_MONEY	Nu deþii destul Yang pentru aceastã clãdire.
GUILD_NO_NOTICE_PERMISSION	Nu îþi este permis sã faci un anunþ.
GUILD_OBJECT	Obiecte
GUILD_OFFER_EXP	Investeºte Experienþã
GUILD_SHORT_EXP	Nu ai destule puncte de experienþã.
GUILD_TILE_BASEINFO	Informaþii de bazã
GUILD_TILE_BOARD	Tablã
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_INFO	Informaþii breaslã
GUILD_TILE_MEMBER	Membrii breslei
GUILD_TILE_SKILL	Calificarea breslei
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensã: Câºtigãtorul primeºte licori
GUILD_WAR_USE_BATTLE_MAP	Locaþie: Câmpul de Luptã al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaþie: Harta Normalã
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câºtigã rãzboiul.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazã steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ºi adu-l în baza ta.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toþi inamicii pentru a câºtiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparþii nici unei bresle.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptã
HORSE_LEVEL3	Cal militar
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sã arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sã arunci %s %d?
INPUT_MATRIX_CARD_NUMBER	Introdu numãrul plãcii matrix
INPUT_MATRIX_CARD_TITLE	Placa matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ºtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ªterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adãugat.
INVENTORY_REALLY_USE_ITEM	Vrei sã foloseºti acest obiect?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja amator
JOB_ASSASSIN1	Puterea ninja
JOB_ASSASSIN2	Vampir
JOB_SHAMAN	Saman
JOB_SHAMAN0	ªaman amator
JOB_SHAMAN1	Puterea zmeului
JOB_SHAMAN2	Puterea fulgerului
JOB_SURA	Sura
JOB_SURA0	Sura amator
JOB_SURA1	Puterea fata morgana
JOB_SURA2	Puterea magiei negre
JOB_WARRIOR	Razboinic
JOB_WARRIOR0	Rãzboinic amator
JOB_WARRIOR1	Puterea Arahan
JOB_WARRIOR2	Puterea partizanilor
LEFT_TIME	Timp rãmas
LOGIN_CONNECT_FAILURE	Mentenanþã excitatule.
LOGIN_CONNECT_SUCCESS	Stai aºa cã cicã ai loc.
LOGIN_FAILURE_NOT_MATCH_IP	Nu foloseºti acelaºi IP cu al contului.
LOGIN_CONNETING	Conectare.
LOGIN_FAILURE_ALREAY	Esti deja conectat.
LOGIN_FAILURE_BACKEND_ERR	A apãrut o eroare. Contacteazã Suportul.
LOGIN_FAILURE_BE_SAME_KEY	Problemã la login
LOGIN_FAILURE_BLOCK_ID	Te-am banat, vezi dacã eºti prost?
LOGIN_FAILURE_BLOCK_LOGIN	Alege alt server!
LOGIN_FAILURE_COUNTRY_ERR	Codul þãrii este incorect. \nContacteazã Suportul.
LOGIN_FAILURE_INTEGRTING	Contul este în proces de fuziune. Te rugãm sã încerci mai târziu.
LOGIN_FAILURE_NOBILL	Contul nu a înregistrat timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul nu este disponibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume sau parolã greºitã.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Trebuie sã verifici adresa de email a contului.
LOGIN_FAILURE_REPAIR_ID	Obiectele au fost restaurate pentru acest cont.
LOGIN_FAILURE_SAMELOGIN	Mamã, fi atent cã vrea cineva sã intre pe contul tãu.
LOGIN_FAILURE_SHUTDOWN	Mentenanþã excitatule.
LOGIN_FAILURE_STEAM_SESSION	Sesiunea ta a expirat. Reporneºte clientul.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca existã prea mulþi jucãtori.
LOGIN_FAILURE_UNKNOWN	Login a eºuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verificã-þi mailurile.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Ai introdus un numãr greºit.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Ai introdus de 3 ori un numãr greºit. Conectarea va fi închisã.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parolã greºitã!
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	 Conectare reusita!
MALL_CANNOT_INSERT	Nu poþi poziþiona obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_A1	Þinutul Yongan
MAP_A2	Valea Seungryong
MAP_A3	Þinutul Yayang
MAP_AG	Jungrang
MAP_B1	Þinutul Joan
MAP_B2	Valea Imji
MAP_B3	Þinutul Bokjung
MAP_BAY	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_C1	Þinutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Þinutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_DAWN	Stancile Gautama
MAP_DESERT	Deºertul Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Taramul Gigantilor
MAP_SKELTOWER	Turnul Gumsan
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TREE	Lungsam
MAP_TRENT02	Padurea Rosie
MAP_WL	Valea Serpilor
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te-a acceptat ca prieten.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepþi?
MESSENGER_DO_YOU_DELETE	ªterge?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sã ºtergi numãrul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breaslã
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Trimite codul de pe telefonul mobil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Introdu codul
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introdu numãrul de mobil pentru trimiterea SMS-ului.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vrei sã introduci acum numãrul de mobil?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introdu numãrul de mobil
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Trimite mesaj.
MINIMAP	Deschide mini harta
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afiºatã.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afiºatã.
MINIMAP_DEC_SCALE	Minimeazã
MINIMAP_INC_SCALE	Maximeazã
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_SHOW_AREAMAP	Deschide hartã mare
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o sutã de milioane
MONEY_INPUT_DIALOG_SELLPRICE	Preþ de vânzare:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi muta obiectul dacã ai deschis un magazin privat.
MUSIC_EMPTY_MUSIC_LIST	Nicio muzicã de fundal.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 muzica standard
MUSIC_NOT_SELECT_MUSIC	Nu ai ales nici un fiºier de muzicã.
NEEFD_REST	Trebuie sã te odihneºti întâi.
NOT_YET_SUPPORT	Nu este suportat.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nu poþi activa modul breaslã dacã nu aparþii nici uneia.
OPTION_PVPMODE_NOT_SUPPORT	Nu poþi folosi configuraþia modului PvP.
OPTION_PVPMODE_PROTECT	Trebuie sã fi atins minim nivelul %d pentru a activa modul PvP.
PARTY_BONUS_ATTACKER	Valoare atac: +%d	SA
PARTY_BONUS_BERSERKER	Vitezã de atac: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Apãrare: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. PM: +%d	SA
PARTY_BONUS_TANKER	Max. PV: +%d	SA
PARTY_BREAK_UP	Sparge grupa
PARTY_DO_YOU_ACCEPT	%s te-a invitat in grup.
PARTY_DO_YOU_JOIN	, accepti invitaþia de a intra în grup?
PARTY_EXP_DISTRIBUTION_MODE	Distribuire EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Adept level
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Nivel mai înalt primeºte mai mult EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Egal
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Toþi membrii grupei primesc la fel de mult EXP.
PARTY_HEAL_ALL_MEMBER	Reface totul
PARTY_INCREASE_AREA_150	Autonomia grupei mãritã de 1,5 ori.	SNA
PARTY_INCREASE_AREA_200	Autonomia grupei mãritã de 2 ori.	SNA
PARTY_LEAVE	Pãrãseºte grupul
PARTY_LONGTIME_BONUS_EXP	EXP-bonus petru joc de grupã lung: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Strigã membru al grupei încoace.
PARTY_REGEN_BONUS	Bonus pentru regenerarea PV- + PM: +%d%%	SA
PARTY_REQUEST_DENIED	Cererea a fost refuzata.
PARTY_SET_ATTACKER	Stabileºte ca atacator.
PARTY_SET_BERSERKER	Stabileºte ca berserker.
PARTY_SET_BUFFER	Stabileºte ca blocant.
PARTY_SET_DEFENDER	Stabileºte ca apãrãtor.
PARTY_SET_NORMAL	Anuleazã setarea.
PARTY_SET_SKILL_MASTER	Stabileºte ca maestru al competenþei.
PARTY_SET_TANKER	Stabileºte ca luptãtor de apropiere.
PARTY_SKILL_ATTACKER	Valoare de bazã atac atacator +%,0f
PARTY_SKILL_BERSERKER	Viteza de atac berserker +%,0f
PARTY_SKILL_BUFFER	Durata Skill Blocant +%,0f
PARTY_SKILL_DEFENDER	Apãrare apãrãtor +%,0f
PARTY_SKILL_HP_REGEN	Regenerare PV +%,0f%%
PARTY_SKILL_PARTY_AREA	Autonomia grupei +%d%%
PARTY_SKILL_SKILL_MASTER	PM maestrul competenþei max. +%,0f
PARTY_SKILL_SP_REGEN	Regenerare PM +%,0f%%
PARTY_SKILL_TANKER	Max. PV luptator aproape +%,0f
PARTY_SKILL_WARP	Capacitate de a striga membri ai grupei încoace.
PASSWORD_TITLE	Parola depozit
PICK_ITEM_TITLE	Numãrul obiectului.
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	Nu poþi vinde acest obiect în magazin.
PRIVATE_SHOP_CLOSE_QUESTION	Vrei sã închizi magazinul?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Numele magazinului
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preþ
PVP_LEVEL0_M	[Veteran]
PVP_LEVEL1_M	[Maestru]
PVP_LEVEL2_M	[Expert]
PVP_LEVEL3_M	[Incepãtor]
PVP_LEVEL4_M	[Neutru]
PVP_LEVEL5_M	[Slab]
PVP_LEVEL6_M	[Corigent]
PVP_LEVEL7_M	[Repetent]
PVP_LEVEL8_M	[Nesimþit]
PVP_LEVEL0_F	[Veteranã]
PVP_LEVEL1_F	[Maestrã]
PVP_LEVEL2_F	[Expertã]
PVP_LEVEL3_F	[Incepãtoare]
PVP_LEVEL4_F	[Neutru]
PVP_LEVEL5_F	[Slabã]
PVP_LEVEL6_F	[Corigentã]
PVP_LEVEL7_F	[Repetentã]
PVP_LEVEL8_F	[Nesimþitã]
PVP_MODE_GUILD	Mod PvP-breaslã activat
PVP_MODE_KILL	PvP - liber activat.
PVP_MODE_NORMAL	PvP - pace activat.
PVP_MODE_PROTECT	PvP - protecþie activat.
PVP_MODE_REVENGE	PvP - agresiv activat.
PVP_OPTION_KILL	Liber
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protecþie
PVP_OPTION_REVENGE	Agresiv
QUEST_APPEND	Misiune noua înregistrata.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Timpul a expirat
QUEST_UNLIMITED_TIME	Nici o limitã de timp
QUEST_ZEROSEC	0 sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Acest obiect nu poate fi adãugat la câmpul de acces rapid.
RECEIVE_MESSAGE	%s þi-a trimis un mesaj.
REFINE_COST	Costuri de îmbunãtãþire: %d Yang
REFINE_DESTROY_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Creºte probabilitatea de îmbunãtãþire,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	dar dacã nu îþi reuºeºte, obiectul va fi distrus. Continui?
REFINE_DOWN_GRADE_WARNING	Obiectul poate fi distrus prin înnobilare.
REFINE_DO_YOU_SEPARATE_METIN	Doreºti sã înlãturi toate Pietrele Spiritului disponibile?
REFINE_FAILURE	Nu a funcþionat. Am eºuat.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nu poate fi adãugat obiectului.
REFINE_FAILURE_EQUIP_ITEM	Nu poþi îmbunãtãþi Obiectele echipate.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nu poate fi indepartata nici o piatra stafie.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ai nevoie de un pergament de îmbunãtãþire mai bun.
REFINE_FAILURE_NO_GOLD_SOCKET	Nu existã suport de aur petru a adãuga %s.
REFINE_FAILURE_NO_MORE_SOCKET	Nu poþi sã mai adaugi suporturi.
REFINE_FAILURE_NO_SOCKET0	Nu existã suport pentru a adãuga %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Acestui obiect nu îi poate fi adãugat un suport.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Acest obiect nu poate fi îmbunãtãþit.
REFINE_SUCCESS	Îmbunãtãþirea obiectului a reuºit.
REFINE_SUCCESS_PROBALITY	ªansã de îmbunãtãþire: %d%%
